[[1077   94]] , [[1076   95]]
[[766 116]] , [[766 120]]
[[1077   94]] , [[1076   95]]
[[766 116]] , [[766 120]]
[[109 359]] , [[109 363]]
[[685 351]] , [[685 355]]
[[817 639]] , [[817 643]]
[[255 554]] , [[255 558]]
[[1074  800]] , [[1074  804]]
[[1074  798]] , [[1074  802]]
[[631 979]] , [[632 978]]
[[433 836]] , [[431 838]]
[[ 704 1006]] , [[ 705 1005]]
[[704 855]] , [[705 854]]
[[143 619]] , [[142 620]]
[[836 647]] , [[833 650]]
[[826 455]] , [[826 459]]
[[318 453]] , [[317 454]]
[[649 352]] , [[649 356]]
[[333 453]] , [[333 457]]
[[431 453]] , [[431 457]]
[[397 353]] , [[397 357]]
[[380 453]] , [[380 457]]
[[753 118]] , [[752 119]]
[[ 94 355]] , [[ 94 360]]
[[811 119]] , [[811 123]]
[[ 82 303]] , [[ 82 307]]
[[110 355]] , [[109 356]]
[[878 354]] , [[878 358]]
[[192 455]] , [[190 457]]
[[ 84 459]] , [[ 84 463]]
[[338 455]] , [[338 459]]
[[444 453]] , [[444 457]]
[[683 486]] , [[683 490]]
[[366 353]] , [[365 354]]
[[829 118]] , [[829 122]]
[[867 118]] , [[866 119]]
[[351 490]] , [[351 494]]
[[418 547]] , [[416 549]]
[[805 487]] , [[805 491]]
[[316 489]] , [[316 493]]
[[233 553]] , [[233 557]]
[[662 487]] , [[661 488]]
[[174 488]] , [[174 492]]
[[677 488]] , [[677 492]]
[[ 97 461]] , [[ 96 462]]
[[465 492]] , [[465 496]]
[[223 462]] , [[223 466]]
[[670 572]] , [[668 574]]
[[757 489]] , [[757 493]]
[[560 490]] , [[559 491]]
[[559 490]] , [[557 492]]
[[757 489]] , [[757 493]]
[[303 491]] , [[303 495]]
[[335 492]] , [[335 496]]
[[503 574]] , [[501 576]]
[[377 491]] , [[377 495]]
[[429 575]] , [[429 579]]
[[578 617]] , [[577 618]]
[[724 627]] , [[723 628]]
[[542 574]] , [[542 578]]
[[504 574]] , [[504 578]]
[[534 574]] , [[534 578]]
[[492 549]] , [[492 553]]
[[342 490]] , [[342 494]]
[[657 572]] , [[655 574]]
[[657 572]] , [[655 574]]
[[790 649]] , [[789 650]]
[[657 572]] , [[655 574]]
[[729 640]] , [[729 644]]
[[208 571]] , [[207 572]]
[[790 665]] , [[790 671]]
[[541 637]] , [[541 641]]
[[449 571]] , [[449 573]]
[[594 656]] , [[595 655]]
[[852 667]] , [[851 668]]
[[567 572]] , [[567 576]]
[[586 649]] , [[583 652]]
[[687 651]] , [[686 652]]
[[586 649]] , [[583 652]]
[[782 646]] , [[782 653]]
[[406 653]] , [[406 654]]
[[549 575]] , [[549 579]]
[[676 649]] , [[675 650]]
[[586 649]] , [[584 651]]
[[646 661]] , [[646 662]]
[[571 575]] , [[571 579]]
[[836 665]] , [[842 665]]
[[833 668]] , [[834 667]]
[[480 670]] , [[480 674]]
[[366 683]] , [[365 684]]
[[824 671]] , [[825 670]]
[[776 659]] , [[776 660]]
[[565 683]] , [[563 685]]
[[847 652]] , [[847 656]]
[[454 647]] , [[454 651]]
[[840 669]] , [[839 670]]
[[775 662]] , [[775 669]]
[[405 553]] , [[405 557]]
[[290 555]] , [[290 556]]
[[442 578]] , [[442 582]]
[[520 633]] , [[520 637]]
[[767 556]] , [[767 560]]
[[916 617]] , [[913 620]]
[[782 640]] , [[782 644]]
[[333 574]] , [[332 575]]
[[786 694]] , [[787 693]]
[[752 631]] , [[752 635]]
[[798 652]] , [[798 656]]
[[492 671]] , [[491 672]]
[[849 654]] , [[849 658]]
[[502 660]] , [[502 665]]
[[806 651]] , [[805 652]]
[[857 662]] , [[856 663]]
[[542 576]] , [[542 580]]
[[544 633]] , [[544 635]]
[[544 633]] , [[544 635]]
[[886 639]] , [[884 641]]
[[504 631]] , [[503 632]]
[[522 629]] , [[521 630]]
[[544 653]] , [[541 656]]
[[570 629]] , [[569 630]]
[[578 649]] , [[577 650]]
[[896 635]] , [[895 636]]
[[549 575]] , [[548 576]]
[[165 562]] , [[165 567]]
[[292 553]] , [[290 555]]
[[629 637]] , [[629 641]]
[[702 631]] , [[700 633]]
[[183 573]] , [[183 577]]
[[532 599]] , [[529 602]]
[[496 599]] , [[495 600]]
[[763 556]] , [[763 560]]
[[532 599]] , [[529 602]]
[[704 631]] , [[703 632]]
[[630 635]] , [[629 636]]
[[630 635]] , [[629 636]]
[[496 599]] , [[495 600]]
[[182 572]] , [[182 576]]
[[321 553]] , [[321 557]]
[[532 599]] , [[529 602]]
[[574 621]] , [[573 622]]
[[493 631]] , [[493 635]]
[[532 599]] , [[529 602]]
[[520 631]] , [[520 635]]
[[605 641]] , [[605 648]]
[[494 653]] , [[494 657]]
[[890 639]] , [[890 643]]
[[574 621]] , [[573 622]]
[[730 627]] , [[730 631]]
[[712 629]] , [[710 631]]
[[379 573]] , [[378 574]]
[[730 627]] , [[730 631]]
[[730 627]] , [[730 631]]
[[677 651]] , [[677 655]]
[[670 637]] , [[670 641]]
[[553 658]] , [[554 657]]
[[550 575]] , [[549 576]]
[[660 645]] , [[660 649]]
[[427 574]] , [[427 578]]
[[414 574]] , [[413 575]]
[[830 651]] , [[827 654]]
[[670 633]] , [[669 634]]
[[498 654]] , [[498 658]]
[[653 574]] , [[653 578]]
[[685 575]] , [[685 579]]
[[139 459]] , [[139 463]]
[[250 455]] , [[249 456]]
[[542 451]] , [[541 452]]
[[ 87 358]] , [[ 87 362]]
[[234 457]] , [[234 461]]
[[571 491]] , [[571 495]]
[[268 490]] , [[268 494]]
