[[610  15]] , [[611  14]]
[[ 26 488]] , [[ 23 491]]
[[448 978]] , [[449 977]]
[[459 934]] , [[460 933]]
[[ 57 304]] , [[ 57 309]]
[[ 34 485]] , [[ 33 486]]
[[305 911]] , [[306 910]]
[[387 740]] , [[388 739]]
[[661 918]] , [[662 917]]
[[313 565]] , [[312 566]]
[[854 688]] , [[854 693]]
[[854 688]] , [[854 693]]
[[301 751]] , [[301 755]]
[[ 473 1012]] , [[ 474 1011]]
[[301 750]] , [[301 755]]
[[576 744]] , [[576 749]]
[[   0 1048]] , [[   0 1129]]
[[ 641 1270]] , [[ 641 1275]]
[[ 641 1270]] , [[ 641 1275]]
[[299 750]] , [[298 751]]
[[298 764]] , [[298 767]]
[[850 690]] , [[850 705]]
[[   0 1052]] , [[   0 1127]]
[[597 922]] , [[598 921]]
[[496 744]] , [[496 751]]
[[558 738]] , [[558 743]]
[[522 740]] , [[522 744]]
[[443 980]] , [[444 979]]
[[649 699]] , [[648 700]]
[[599 748]] , [[600 747]]
[[553 738]] , [[552 739]]
[[593 922]] , [[594 921]]
[[  28 1039]] , [[  28 1043]]
[[  12 1038]] , [[  12 1045]]
[[ 641 1270]] , [[ 640 1271]]
[[306 904]] , [[306 910]]
[[340 732]] , [[340 733]]
[[312 904]] , [[311 905]]
[[830 724]] , [[830 729]]
[[828 728]] , [[828 729]]
[[ 394 1009]] , [[ 394 1013]]
[[280 676]] , [[280 677]]
[[824 726]] , [[824 729]]
[[478 924]] , [[479 923]]
[[437 992]] , [[438 991]]
[[626 958]] , [[627 957]]
[[623 952]] , [[624 951]]
[[621 956]] , [[622 955]]
[[   6 1048]] , [[   6 1053]]
[[ 347 1080]] , [[ 348 1079]]
[[   8 1151]] , [[   8 1157]]
[[266 565]] , [[265 566]]
[[   9 1218]] , [[   9 1223]]
[[   9 1220]] , [[   9 1225]]
[[  70 1248]] , [[  70 1252]]
[[   4 1132]] , [[   4 1137]]
[[  70 1248]] , [[  70 1252]]
[[   4 1152]] , [[   4 1153]]
[[   0 1041]] , [[   0 1057]]
[[609 928]] , [[610 927]]
[[479 922]] , [[480 921]]
[[611 984]] , [[612 983]]
[[254 566]] , [[254 568]]
[[479 922]] , [[480 921]]
[[608 933]] , [[609 933]]
[[607 944]] , [[608 943]]
[[606 936]] , [[607 935]]
[[519 742]] , [[519 746]]
[[498 744]] , [[498 745]]
[[652 754]] , [[653 755]]
[[469 924]] , [[470 923]]
[[502 740]] , [[502 745]]
[[652 755]] , [[653 755]]
[[271 594]] , [[272 593]]
[[522 742]] , [[522 746]]
[[603 934]] , [[604 933]]
[[250 566]] , [[249 567]]
[[504 740]] , [[504 746]]
[[488 921]] , [[489 921]]
[[607 978]] , [[608 977]]
[[481 922]] , [[482 921]]
[[504 740]] , [[504 746]]
[[596 254]] , [[596 258]]
[[516 747]] , [[516 751]]
[[465 608]] , [[466 607]]
[[267 594]] , [[268 593]]
[[267 594]] , [[268 593]]
[[281  27]] , [[281  31]]
[[392 863]] , [[392 867]]
[[277 594]] , [[278 593]]
[[465 608]] , [[466 607]]
[[458 742]] , [[458 746]]
[[463 608]] , [[464 607]]
[[463 608]] , [[464 607]]
[[396 854]] , [[397 853]]
[[500 740]] , [[500 747]]
[[269 594]] , [[270 593]]
[[283 592]] , [[284 591]]
[[271 592]] , [[272 591]]
