[[ 625 1341]] , [[ 632 1341]]
[[ 643 1345]] , [[ 644 1345]]
[[ 562 1011]] , [[ 561 1012]]
[[188 951]] , [[188 960]]
[[708 997]] , [[706 999]]
[[ 614 1311]] , [[ 615 1312]]
[[ 491 1348]] , [[ 490 1349]]
[[ 396 1337]] , [[ 397 1336]]
[[770 853]] , [[769 854]]
[[772 857]] , [[771 858]]
[[179 904]] , [[178 905]]
[[442 974]] , [[442 978]]
[[441 926]] , [[440 927]]
[[609 915]] , [[610 914]]
[[393 907]] , [[394 906]]
[[279 843]] , [[280 842]]
[[396 901]] , [[397 900]]
[[371 858]] , [[380 858]]
[[419 838]] , [[432 838]]
[[661 675]] , [[661 679]]
[[669 669]] , [[669 673]]
[[708 842]] , [[709 841]]
[[616 851]] , [[617 850]]
[[712 714]] , [[712 718]]
[[1069  733]] , [[1069  753]]
[[369 817]] , [[376 817]]
[[386 827]] , [[387 826]]
[[479 845]] , [[480 844]]
[[434 852]] , [[435 851]]
[[1069  736]] , [[1069  753]]
[[446 859]] , [[447 858]]
[[666 834]] , [[667 833]]
[[924 605]] , [[922 607]]
[[214 553]] , [[213 554]]
[[612 574]] , [[612 578]]
[[319 574]] , [[319 578]]
[[587 856]] , [[588 856]]
[[545 856]] , [[546 856]]
[[354 831]] , [[355 830]]
[[426 845]] , [[427 844]]
[[222 673]] , [[222 677]]
[[664 785]] , [[663 786]]
[[664 787]] , [[663 788]]
[[920 613]] , [[919 614]]
[[663 797]] , [[663 801]]
[[664 787]] , [[663 788]]
[[380 832]] , [[381 831]]
[[463 575]] , [[463 579]]
[[313 573]] , [[313 574]]
[[268 574]] , [[268 578]]
[[545 575]] , [[545 579]]
[[296 574]] , [[296 578]]
[[399 576]] , [[399 580]]
[[902 631]] , [[902 635]]
[[545 575]] , [[545 579]]
[[419 840]] , [[434 840]]
[[640 765]] , [[639 766]]
[[427 840]] , [[428 839]]
[[635 827]] , [[636 826]]
[[487 850]] , [[488 850]]
[[481 575]] , [[481 579]]
[[401 574]] , [[401 578]]
[[328 573]] , [[327 574]]
[[405 575]] , [[405 579]]
[[342 812]] , [[342 816]]
[[302 846]] , [[303 845]]
[[512 574]] , [[512 578]]
[[663 810]] , [[662 811]]
[[405 575]] , [[405 579]]
[[359 815]] , [[359 816]]
[[300 574]] , [[300 578]]
[[311 575]] , [[311 579]]
[[635 783]] , [[635 791]]
[[544 848]] , [[545 847]]
[[628 773]] , [[627 774]]
[[352 846]] , [[353 845]]
[[612 599]] , [[611 600]]
[[497 856]] , [[498 855]]
[[369 857]] , [[370 856]]
[[418 844]] , [[419 843]]
[[364 851]] , [[365 850]]
[[ 625 1341]] , [[ 632 1341]]
[[ 625 1341]] , [[ 632 1341]]
[[ 643 1345]] , [[ 644 1345]]
[[ 562 1011]] , [[ 561 1012]]
[[188 951]] , [[188 960]]
[[708 997]] , [[706 999]]
[[ 614 1311]] , [[ 615 1312]]
[[ 491 1348]] , [[ 490 1349]]
[[ 396 1337]] , [[ 397 1336]]
[[770 853]] , [[769 854]]
[[772 857]] , [[771 858]]
[[179 904]] , [[178 905]]
[[442 974]] , [[442 978]]
[[441 926]] , [[440 927]]
[[609 915]] , [[610 914]]
[[393 907]] , [[394 906]]
[[279 843]] , [[280 842]]
[[396 901]] , [[397 900]]
[[371 858]] , [[380 858]]
[[419 838]] , [[432 838]]
[[661 675]] , [[661 679]]
[[669 669]] , [[669 673]]
[[708 842]] , [[709 841]]
[[443 976]] , [[442 977]]
[[ 828 1068]] , [[ 829 1067]]
[[ 228 1016]] , [[ 229 1015]]
[[ 331 1010]] , [[ 331 1011]]
[[ 330 1015]] , [[ 331 1014]]
[[ 562 1009]] , [[ 561 1010]]
[[ 192 1053]] , [[ 192 1066]]
[[ 201 1088]] , [[ 201 1093]]
[[ 426 1119]] , [[ 424 1121]]
[[ 497 1352]] , [[ 498 1351]]
[[ 696 1356]] , [[ 697 1355]]
[[336 992]] , [[336 998]]
[[ 426 1097]] , [[ 426 1110]]
[[742 845]] , [[741 846]]
[[180 900]] , [[181 899]]
[[427 930]] , [[428 929]]
[[675 839]] , [[676 838]]
[[388 863]] , [[389 862]]
[[404 866]] , [[405 865]]
[[254 848]] , [[255 847]]
[[766 843]] , [[767 842]]
