[[481  79]] , [[482  78]]
[[661 918]] , [[662 917]]
[[854 688]] , [[854 689]]
[[ 471 1014]] , [[ 472 1013]]
[[661 918]] , [[662 917]]
[[661 918]] , [[662 917]]
[[439 986]] , [[440 985]]
[[661 918]] , [[662 917]]
[[561 738]] , [[561 743]]
[[561 738]] , [[561 743]]
[[302 748]] , [[302 753]]
[[578 740]] , [[578 744]]
[[  45 1050]] , [[  45 1055]]
[[854 712]] , [[854 727]]
[[  42 1084]] , [[  42 1095]]
[[   7 1106]] , [[   8 1105]]
[[ 650 1376]] , [[ 650 1383]]
[[ 684 1408]] , [[ 684 1413]]
[[ 688 1430]] , [[ 688 1435]]
[[   0 1048]] , [[   0 1103]]
[[  40 1066]] , [[  40 1067]]
[[  44 1039]] , [[  44 1043]]
[[ 168 1350]] , [[ 168 1354]]
[[848 692]] , [[848 705]]
[[  30 1038]] , [[  30 1043]]
[[292 750]] , [[292 758]]
[[  38 1039]] , [[  38 1045]]
[[496 744]] , [[495 745]]
[[  38 1040]] , [[  38 1045]]
[[520 740]] , [[520 744]]
[[ 511 1337]] , [[ 511 1341]]
[[296 688]] , [[296 703]]
[[ 632 1370]] , [[ 632 1371]]
[[ 684 1369]] , [[ 684 1371]]
[[ 668 1406]] , [[ 668 1417]]
[[ 656 1368]] , [[ 656 1375]]
[[  10 1038]] , [[  10 1043]]
[[  28 1048]] , [[  28 1055]]
[[308 904]] , [[307 905]]
[[298 904]] , [[298 909]]
[[  70 1248]] , [[  70 1249]]
[[298 904]] , [[298 909]]
[[  18 1082]] , [[  18 1085]]
[[819 689]] , [[819 695]]
[[344 732]] , [[344 733]]
[[819 719]] , [[818 720]]
[[  12 1102]] , [[  12 1106]]
[[  16 1042]] , [[  16 1043]]
[[  52 1272]] , [[  52 1277]]
[[ 368 1091]] , [[ 368 1095]]
[[  66 1254]] , [[  65 1255]]
[[   5 1172]] , [[   5 1177]]
[[ 512 1337]] , [[ 512 1343]]
[[ 512 1337]] , [[ 512 1343]]
[[ 656 1368]] , [[ 656 1375]]
[[  70 1248]] , [[  70 1258]]
[[  78 1262]] , [[  78 1267]]
[[  38 1267]] , [[  38 1271]]
[[   8 1228]] , [[   8 1232]]
[[   0 1042]] , [[   0 1047]]
[[ 363 1080]] , [[ 364 1079]]
[[  22 1256]] , [[  22 1261]]
[[  28 1264]] , [[  28 1269]]
[[   0 1042]] , [[   0 1054]]
[[   8 1038]] , [[   8 1047]]
[[   0 1042]] , [[   0 1051]]
[[   8 1040]] , [[   8 1048]]
[[467 924]] , [[468 923]]
[[604 928]] , [[605 927]]
[[608 992]] , [[609 991]]
[[607 966]] , [[608 965]]
[[603 933]] , [[604 932]]
[[603 962]] , [[604 961]]
[[272 593]] , [[293 593]]
[[502 740]] , [[502 741]]
[[652 755]] , [[653 755]]
[[ 382 1001]] , [[ 383 1000]]
[[ 346 1086]] , [[ 346 1090]]
[[  20 1260]] , [[  20 1267]]
[[469 924]] , [[470 923]]
[[248 566]] , [[248 567]]
[[  12 1250]] , [[  12 1257]]
[[ 811 1060]] , [[ 812 1059]]
[[439 931]] , [[439 935]]
[[439 931]] , [[439 935]]
[[599 930]] , [[600 929]]
[[248 566]] , [[247 567]]
[[465 608]] , [[466 607]]
[[598 930]] , [[599 929]]
[[598 930]] , [[599 929]]
[[ 432 1031]] , [[ 432 1039]]
[[653 757]] , [[654 756]]
[[500 740]] , [[499 741]]
[[653 757]] , [[654 756]]
[[267 594]] , [[268 593]]
[[515 746]] , [[515 751]]
