[[1077   96]] , [[1077  100]]
[[673 603]] , [[672 604]]
[[1074  732]] , [[1074  749]]
[[789 631]] , [[789 635]]
[[127 356]] , [[127 360]]
[[277 489]] , [[277 493]]
[[183 553]] , [[183 557]]
[[373 120]] , [[373 124]]
[[1038   13]] , [[1037   14]]
[[793 118]] , [[793 122]]
[[  0 124]] , [[  0 128]]
[[544 451]] , [[544 455]]
[[796 354]] , [[796 358]]
[[200 358]] , [[200 362]]
[[834 481]] , [[834 483]]
[[ 65 303]] , [[ 65 307]]
[[814 119]] , [[813 120]]
[[722 120]] , [[722 124]]
[[879 118]] , [[877 120]]
[[258 360]] , [[258 364]]
[[993 120]] , [[991 122]]
[[755 460]] , [[755 464]]
[[  0 125]] , [[  0 130]]
[[895 121]] , [[895 125]]
[[850 119]] , [[849 120]]
[[983 120]] , [[981 122]]
[[106 358]] , [[106 362]]
[[432 453]] , [[431 454]]
[[106 486]] , [[106 490]]
[[561 451]] , [[561 455]]
[[213 489]] , [[213 493]]
[[390 490]] , [[390 491]]
[[579 489]] , [[579 493]]
[[ 96 459]] , [[ 95 460]]
[[139 485]] , [[139 489]]
[[127 459]] , [[127 463]]
[[447 453]] , [[447 457]]
[[ 13 357]] , [[ 13 361]]
[[ 79 466]] , [[ 79 470]]
[[183 485]] , [[183 490]]
[[379 491]] , [[379 495]]
[[183 485]] , [[183 490]]
[[629 489]] , [[629 493]]
[[375 458]] , [[375 462]]
[[610 553]] , [[610 557]]
[[663 488]] , [[663 492]]
[[ 87 474]] , [[ 87 479]]
[[331 489]] , [[331 493]]
[[192 553]] , [[191 554]]
[[ 99 485]] , [[ 99 489]]
[[420 490]] , [[420 494]]
[[467 490]] , [[467 494]]
[[372 490]] , [[372 494]]
[[406 489]] , [[405 490]]
[[619 490]] , [[619 494]]
[[112 488]] , [[112 492]]
[[492 490]] , [[491 491]]
[[404 490]] , [[404 494]]
[[621 553]] , [[621 557]]
[[240 488]] , [[240 492]]
[[546 549]] , [[545 550]]
[[187 571]] , [[187 575]]
[[504 576]] , [[504 580]]
[[186 572]] , [[186 576]]
