[[1075   96]] , [[1075   98]]
[[462 353]] , [[461 354]]
[[448 451]] , [[446 453]]
[[  0 124]] , [[  0 128]]
[[1064  109]] , [[1063  110]]
[[963 120]] , [[963 124]]
[[1060  114]] , [[1060  115]]
[[ 46 303]] , [[ 46 307]]
[[668 118]] , [[668 122]]
[[887 119]] , [[887 123]]
[[187 357]] , [[187 361]]
[[885 119]] , [[885 123]]
[[737 354]] , [[737 358]]
[[198 360]] , [[198 364]]
[[ 84 303]] , [[ 84 307]]
[[1062  113]] , [[1062  115]]
[[ 17 357]] , [[ 17 361]]
[[450 453]] , [[449 454]]
[[812 119]] , [[811 120]]
[[ 86 303]] , [[ 86 307]]
[[133 356]] , [[133 360]]
[[ 75 357]] , [[ 75 361]]
[[738 354]] , [[738 358]]
[[ 32 358]] , [[ 32 362]]
[[755 118]] , [[754 119]]
[[ 39 358]] , [[ 39 362]]
[[1024  119]] , [[1023  120]]
[[274 455]] , [[274 459]]
[[1064  111]] , [[1064  113]]
[[650 446]] , [[650 450]]
[[100 459]] , [[ 99 460]]
[[106 485]] , [[106 490]]
[[471 453]] , [[471 457]]
[[348 455]] , [[348 459]]
[[472 453]] , [[472 457]]
[[192 488]] , [[192 492]]
[[ 93 358]] , [[ 93 362]]
[[134 358]] , [[134 362]]
[[ 25 360]] , [[ 25 364]]
[[ 69 360]] , [[ 69 364]]
[[755 124]] , [[755 128]]
[[931 120]] , [[931 124]]
[[478 451]] , [[476 453]]
[[934 119]] , [[933 120]]
[[896 308]] , [[896 312]]
[[342 455]] , [[342 459]]
[[815 121]] , [[815 125]]
[[887 121]] , [[887 125]]
[[746 356]] , [[746 360]]
[[ 40 360]] , [[ 40 364]]
[[1058  117]] , [[1058  119]]
[[143 358]] , [[141 360]]
[[619 120]] , [[619 124]]
[[732 356]] , [[732 360]]
[[338 358]] , [[338 362]]
[[105 358]] , [[105 362]]
[[1028  120]] , [[1028  124]]
[[911 120]] , [[911 124]]
[[846 121]] , [[845 122]]
[[846 121]] , [[845 122]]
[[173 358]] , [[173 362]]
[[173 358]] , [[173 362]]
[[ 24 358]] , [[ 24 362]]
[[963 120]] , [[962 121]]
[[622 119]] , [[621 120]]
[[622 119]] , [[621 120]]
[[962 119]] , [[961 120]]
[[1000  120]] , [[1000  124]]
[[962 119]] , [[961 120]]
[[620 119]] , [[619 120]]
