[[610  79]] , [[611  78]]
[[445 992]] , [[446 991]]
[[422 735]] , [[421 736]]
[[ 671 1048]] , [[ 672 1047]]
[[459 934]] , [[460 933]]
[[459 932]] , [[460 931]]
[[ 671 1048]] , [[ 672 1047]]
[[459 938]] , [[460 937]]
[[593 738]] , [[593 743]]
[[593 738]] , [[593 743]]
[[  10 1038]] , [[  10 1039]]
[[302 748]] , [[302 753]]
[[  42 1068]] , [[  42 1075]]
[[566 738]] , [[566 739]]
[[ 641 1270]] , [[ 641 1275]]
[[   0 1050]] , [[   0 1129]]
[[ 650 1404]] , [[ 650 1409]]
[[ 730 1428]] , [[ 730 1435]]
[[ 748 1468]] , [[ 748 1472]]
[[  10 1048]] , [[  10 1053]]
[[  62 1072]] , [[  62 1077]]
[[  12 1040]] , [[  12 1045]]
[[ 686 1428]] , [[ 686 1433]]
[[850 712]] , [[850 713]]
[[   0 1062]] , [[   0 1119]]
[[  32 1039]] , [[  32 1043]]
[[   0 1064]] , [[   0 1115]]
[[545 744]] , [[545 748]]
[[   0 1074]] , [[   0 1111]]
[[499 744]] , [[498 745]]
[[ 656 1368]] , [[ 656 1373]]
[[293 714]] , [[291 716]]
[[ 668 1406]] , [[ 668 1411]]
[[ 632 1370]] , [[ 632 1371]]
[[ 680 1408]] , [[ 680 1415]]
[[ 632 1370]] , [[ 632 1371]]
[[  28 1040]] , [[  28 1045]]
[[  28 1062]] , [[  28 1067]]
[[  26 1050]] , [[  26 1055]]
[[ 396 1010]] , [[ 396 1015]]
[[  76 1260]] , [[  76 1265]]
[[ 394 1009]] , [[ 394 1013]]
[[  70 1248]] , [[  70 1249]]
[[822 726]] , [[822 729]]
[[   8 1039]] , [[   8 1057]]
[[   8 1039]] , [[   8 1057]]
[[  22 1232]] , [[  22 1241]]
[[  10 1092]] , [[  10 1093]]
[[ 656 1368]] , [[ 656 1375]]
[[   5 1104]] , [[   5 1109]]
[[  36 1260]] , [[  36 1265]]
[[   9 1216]] , [[   9 1221]]
[[ 656 1368]] , [[ 656 1375]]
[[ 656 1368]] , [[ 656 1375]]
[[ 682 1374]] , [[ 682 1378]]
[[  36 1264]] , [[  36 1269]]
[[  36 1264]] , [[  36 1271]]
[[  46 1272]] , [[  46 1277]]
[[  24 1252]] , [[  24 1259]]
[[   0 1050]] , [[   0 1057]]
[[256 566]] , [[256 567]]
[[  28 1264]] , [[  28 1269]]
[[ 676 1310]] , [[ 676 1314]]
[[   0 1064]] , [[   0 1071]]
[[   0 1041]] , [[   0 1070]]
[[   0 1054]] , [[   0 1065]]
[[   0 1042]] , [[   0 1049]]
[[603 930]] , [[604 929]]
[[607 960]] , [[608 959]]
[[ 373 1092]] , [[ 374 1091]]
[[605 970]] , [[606 969]]
[[604 935]] , [[605 934]]
[[432 974]] , [[433 973]]
[[502 740]] , [[502 741]]
[[522 742]] , [[522 746]]
[[469 924]] , [[470 923]]
[[251 566]] , [[249 568]]
[[   1 1232]] , [[   1 1237]]
[[  78 1260]] , [[  78 1265]]
[[603 936]] , [[604 935]]
[[   2 1036]] , [[   2 1041]]
[[  77 1272]] , [[  76 1273]]
[[248 566]] , [[248 567]]
[[481 922]] , [[482 921]]
[[481 920]] , [[482 919]]
[[601 951]] , [[602 950]]
[[   2 1036]] , [[   2 1037]]
[[471 922]] , [[472 921]]
[[246 566]] , [[246 567]]
[[601 954]] , [[602 953]]
[[481 921]] , [[488 921]]
[[480 922]] , [[481 921]]
[[465 608]] , [[466 607]]
[[471 922]] , [[472 921]]
[[500 740]] , [[499 741]]
[[465 608]] , [[466 607]]
[[246 566]] , [[244 568]]
[[396 857]] , [[397 856]]
[[   1 1036]] , [[   1 1039]]
[[601 930]] , [[602 929]]
[[   6 1242]] , [[   6 1247]]
[[463 608]] , [[464 607]]
[[479 921]] , [[489 921]]
[[463 608]] , [[464 607]]
[[463 608]] , [[464 607]]
[[463 608]] , [[464 607]]
[[463 608]] , [[464 607]]
[[463 608]] , [[464 607]]
[[   8 1240]] , [[   8 1245]]
[[651 756]] , [[652 755]]
[[250 566]] , [[250 567]]
[[609 978]] , [[610 977]]
[[383 980]] , [[384 979]]
[[473 922]] , [[474 921]]
[[608 934]] , [[609 933]]
[[459 608]] , [[460 607]]
[[484 921]] , [[485 920]]
[[500 742]] , [[500 745]]
[[241 876]] , [[242 875]]
[[459 608]] , [[460 607]]
[[619 951]] , [[620 950]]
[[ 375 1082]] , [[ 376 1081]]
[[  10 1064]] , [[  10 1081]]
[[   8 1039]] , [[   8 1045]]
[[ 391 1002]] , [[ 391 1003]]
[[824 655]] , [[822 657]]
[[ 660 1368]] , [[ 660 1369]]
[[  22 1086]] , [[  22 1087]]
[[ 656 1368]] , [[ 656 1375]]
[[ 624 1370]] , [[ 624 1374]]
[[ 624 1370]] , [[ 624 1374]]
[[ 670 1306]] , [[ 670 1311]]
[[ 684 1328]] , [[ 684 1333]]
[[ 218 1299]] , [[ 218 1303]]
